resource,consumer
Detritus,Bathybiaster_loripes
Calanus_spp,Ophiacantha_vivipara
Clausocalanus_spp,Ophiacantha_vivipara
Ctenocalanus_vanus,Ophiacantha_vivipara
Drepanopus_forcipatus,Ophiacantha_vivipara
Neocalanus_tonsus,Ophiacantha_vivipara
Oithona_spp,Ophiacantha_vivipara
Detritus,Leucothoe_spinicarpa
Munida_gregaria,Cottoperca_trigloides
Munida_gregaria,Eurypodius_latreillii
Munida_gregaria,Genypterus_blacodes
Diatoms_centric,Munida_gregaria
Foraminifera,Munida_gregaria
Munida_gregaria,Psammobatis_rudis
Munida_gregaria,Salilota_australis
Munida_gregaria,Patagonotothen_ramsayi
Doryteuthis_gahi,Coelorinchus_fasciatus
Eggs_Fish,Coelorinchus_fasciatus
Doryteuthis_gahi,Micromesistius_australis
Notophycis_marginata,Micromesistius_australis
Campylonotus_vagans,Patagonotothen_ramsayi
Themisto_gaudichaudii,Salilota_australis
Cottoperca_trigloides,Salilota_australis
Dissostichus_eleginoides,Salilota_australis
Patagonotothen_ramsayi,Salilota_australis
Iluocoetes_fimbriatus,Salilota_australis
Micromesistius_australis,Salilota_australis
Sprattus_fuegensis,Salilota_australis
Euphausia_spp,Salilota_australis
Doryteuthis_gahi,Macrourus_holotrachys
Euphausia_spp,Macrourus_holotrachys
Euphausia_spp,Macrourus_whitsoni
Themisto_gaudichaudii,Lepidonotothen_squamifrons
Lepidonotothen_squamifrons,Lepidonotothen_squamifrons
Austrodoris_sp,Lepidonotothen_squamifrons
Eggs_Fish,Lepidonotothen_squamifrons
Pseudosagitta_gazellae,Lepidonotothen_squamifrons
Tinerfe_cyanea,Lepidonotothen_squamifrons
Notophycis_marginata,Mancopsetta_maculata
Euphausia_spp,Mancopsetta_maculata
Diatoms_benthic,Cladodactyla_crocea
Diatoms_centric,Cladodactyla_crocea
Diatoms_pennate,Cladodactyla_crocea
Diatoms_benthic,Pentactella_leonina
Diatoms_centric,Pentactella_leonina
Diatoms_pennate,Pentactella_leonina
Detritus,Pentactella_leonina
Diatoms_benthic,Pentactella_perrieri
Diatoms_centric,Pentactella_perrieri
Diatoms_pennate,Pentactella_perrieri
Detritus,Pentactella_perrieri
Iluocoetes_fimbriatus,Patagonotothen_ramsayi
Ampharete_kerguelensis,Patagonotothen_ramsayi
Anobothrus_sp,Patagonotothen_ramsayi
Eucranta_sp,Patagonotothen_ramsayi
Harmothoe_sp,Patagonotothen_ramsayi
Hermadion_magalhaensi,Patagonotothen_ramsayi
Polyeunoa_laevis,Patagonotothen_ramsayi
Themisto_gaudichaudii,Patagonotothen_ramsayi
Calanus_spp,Patagonotothen_ramsayi
Clausocalanus_spp,Patagonotothen_ramsayi
Ctenocalanus_vanus,Patagonotothen_ramsayi
Drepanopus_forcipatus,Patagonotothen_ramsayi
Euphausia_spp,Patagonotothen_ramsayi
Neocalanus_tonsus,Patagonotothen_ramsayi
Rhincalanus_gigas,Patagonotothen_ramsayi
Poecilosclerida,Aristias_antarcticus
Diatoms_benthic,Euphausia_spp
Diatoms_centric,Euphausia_spp
Diatoms_pennate,Euphausia_spp
Azadinium_sp,Euphausia_spp
Dinoflagellates_heterosol,Euphausia_spp
Gymnodinium_sp,Euphausia_spp
Larvae_Nauplii,Euphausia_spp
Lithodes_confundens,Dissostichus_eleginoides
Lithodes_couesi,Dissostichus_eleginoides
Lithodes_turkayi,Dissostichus_eleginoides
Agonopsis_chiloensis,Dissostichus_eleginoides
Macruronus_novaezelandiae,Dissostichus_eleginoides
Patagonotothen_guntheri,Dissostichus_eleginoides
Micromesistius_australis,Dissostichus_eleginoides
Macrourus_holotrachys,Dissostichus_eleginoides
Notophycis_marginata,Dissostichus_eleginoides
Patagonotothen_ramsayi,Dissostichus_eleginoides
Coelorinchus_fasciatus,Dissostichus_eleginoides
Genypterus_blacodes,Dissostichus_eleginoides
Iluocoetes_fimbriatus,Dissostichus_eleginoides
Enteroctopus_megalocyathus,Phalacrocorax_atriceps
Enteroctopus_megalocyathus,Spheniscus_magellanicus
Diatoms_centric,Limopsis_sp
Diatoms_pennate,Limopsis_sp
Dinoflagellates_heterosol,Limopsis_sp
Detritus,Limopsis_sp
Gymnodinium_sp,Strobilidium_sp
Larvae_Fish,Larvae_Fish
Diatoms_benthic,Abyssianira_argentenensis
Diatoms_centric,Abyssianira_argentenensis
Diatoms_pennate,Abyssianira_argentenensis
Diatoms_benthic,Abyssianira_dentifrons
Diatoms_centric,Abyssianira_dentifrons
Diatoms_pennate,Abyssianira_dentifrons
Diatoms_benthic,Abyssianira_spp
Diatoms_centric,Abyssianira_spp
Diatoms_pennate,Abyssianira_spp
Detritus,Ophiactis_sp
Emiliania_huxleyi,Oithona_spp
Phaeocystis_antarctica,Oithona_spp
Diatoms_benthic,Oithona_spp
Diatoms_centric,Oithona_spp
Diatoms_pennate,Oithona_spp
Dinoflagellates_heterosol,Oithona_spp
Gymnodinium_sp,Oithona_spp
Larvae_Nauplii,Oithona_spp
Munida_gregaria,Pachyptila_sp
Emiliania_huxleyi,Hiatella_sp
Diatoms_benthic,Hiatella_sp
Diatoms_centric,Hiatella_sp
Diatoms_pennate,Hiatella_sp
Munida_gregaria,Doryteuthis_gahi
Munida_gregaria,Thalassarche_melanophris
Eggs_Fish,Patagonotothen_guntheri
Eukrohnia_hamata,Patagonotothen_guntheri
Euphausia_spp,Patagonotothen_guntheri
Pseudosagitta_gazellae,Patagonotothen_guntheri
Serratosagitta_tasmanica,Patagonotothen_guntheri
Eukrohnia_hamata,Patagonotothen_ramsayi
Pseudosagitta_gazellae,Patagonotothen_ramsayi
Serratosagitta_tasmanica,Patagonotothen_ramsayi
Calanus_spp,Patagonotothen_guntheri
Clausocalanus_spp,Patagonotothen_guntheri
Ctenocalanus_vanus,Patagonotothen_guntheri
Drepanopus_forcipatus,Patagonotothen_guntheri
Neocalanus_tonsus,Patagonotothen_guntheri
Rhincalanus_gigas,Patagonotothen_guntheri
Micromesistius_australis,Eudyptes_chrysocome
Detritus,Phoxocephalus_sp
Colossendeis_megalonyx,Cottunculus_granulosus
Enteroctopus_megalocyathus,Cottunculus_granulosus
Munida_gregaria,Cottunculus_granulosus
Thymops_birsteini,Cottunculus_granulosus
Patagonotothen_ramsayi,Cottunculus_granulosus
Coelorinchus_fasciatus,Cottunculus_granulosus
Acanthoserolis_schythei,Cottunculus_granulosus
Neoserolis_exigua,Cottunculus_granulosus
Eggs_Fish,Cottunculus_granulosus
Euphausia_spp,Cottunculus_granulosus
Colossendeis_megalonyx,Psychrolutes_marmoratus
Zygochlamys_patagonica,Psychrolutes_marmoratus
Aspidostoma_giganteum,Psychrolutes_marmoratus
Burdwoodipora_paguricola,Psychrolutes_marmoratus
Enteroctopus_megalocyathus,Psychrolutes_marmoratus
Actinauge_longicornis,Psychrolutes_marmoratus
Actinostola_crassicornis,Psychrolutes_marmoratus
Bolocera_kerguelensis,Psychrolutes_marmoratus
Clavularia_sp,Psychrolutes_marmoratus
Dactylanthus_antarcticus,Psychrolutes_marmoratus
Hormathia_pectinata,Psychrolutes_marmoratus
Isosicyonis_alba,Psychrolutes_marmoratus
Paractis_laevis,Psychrolutes_marmoratus
Phelliactis_sp,Psychrolutes_marmoratus
Eurypodius_latreillii,Psychrolutes_marmoratus
Eurypodius_longirostris,Psychrolutes_marmoratus
Eurypodius_sp,Psychrolutes_marmoratus
Munida_gregaria,Psychrolutes_marmoratus
Paralomis_granulosa,Psychrolutes_marmoratus
Thymops_birsteini,Psychrolutes_marmoratus
Patagonotothen_ramsayi,Psychrolutes_marmoratus
Iluocoetes_fimbriatus,Psychrolutes_marmoratus
Myxine_spp,Psychrolutes_marmoratus
Austrodoris_sp,Psychrolutes_marmoratus
Acanthoserolis_schythei,Psychrolutes_marmoratus
Neoserolis_exigua,Psychrolutes_marmoratus
Eggs_Fish,Psychrolutes_marmoratus
Dissostichus_eleginoides,Dissostichus_eleginoides
Salilota_australis,Dissostichus_eleginoides
Sprattus_fuegensis,Dissostichus_eleginoides
Idanthyrsus_macropaleus,Dissostichus_eleginoides
Jassa_alonsoae,Patagonotothen_guntheri
Themisto_gaudichaudii,Patagonotothen_guntheri
Aspidostoma_giganteum,Patagonotothen_guntheri
Burdwoodipora_paguricola,Patagonotothen_guntheri
Campylaspis_spp,Patagonotothen_guntheri
Cumella_argentinae,Patagonotothen_guntheri
Diastylis_granulata,Patagonotothen_guntheri
Diastylis_hammoniae,Patagonotothen_guntheri
Diastylis_planifrons,Patagonotothen_guntheri
Ekleptostylis_heardi,Patagonotothen_guntheri
Ekleptostylis_vemae,Patagonotothen_guntheri
Eudorella_sp,Patagonotothen_guntheri
Hemilamprops_chilensis,Patagonotothen_guntheri
Holostylis_uniramosa,Patagonotothen_guntheri
Leucon_septemdentatus,Patagonotothen_guntheri
Platytyphlops_sarahae,Patagonotothen_guntheri
Lithodes_confundens,Patagonotothen_guntheri
Lithodes_couesi,Patagonotothen_guntheri
Lithodes_turkayi,Patagonotothen_guntheri
Munida_gregaria,Patagonotothen_guntheri
Sympagurus_dimorphus,Patagonotothen_guntheri
Pareuthria_spp,Patagonotothen_guntheri
Ianthopsis_laevis,Patagonotothen_guntheri
Eunereis_patagonica,Patagonotothen_guntheri
Nicon_maculata,Patagonotothen_guntheri
Munida_gregaria,Macruronus_novaezelandiae
Jassa_alonsoae,Patagonotothen_ramsayi
Leucothoe_spinicarpa,Patagonotothen_ramsayi
Phoxocephalus_sp,Patagonotothen_ramsayi
Tryphosella_sp,Patagonotothen_ramsayi
Parborlasia_corrugatus,Patagonotothen_ramsayi
Zygochlamys_patagonica,Patagonotothen_ramsayi
Aspidostoma_giganteum,Patagonotothen_ramsayi
Burdwoodipora_paguricola,Patagonotothen_ramsayi
Eudorella_sp,Patagonotothen_ramsayi
Eurypodius_latreillii,Patagonotothen_ramsayi
Libidoclaea_granaria,Patagonotothen_ramsayi
Lithodes_confundens,Patagonotothen_ramsayi
Pagurus_comptus,Patagonotothen_ramsayi
Pagurus_forceps,Patagonotothen_ramsayi
Gorgonocephalus_chilensis,Patagonotothen_ramsayi
Ophiura_lymani,Patagonotothen_ramsayi
Sprattus_fuegensis,Patagonotothen_ramsayi
Austrodoris_sp,Patagonotothen_ramsayi
Acanthoserolis_schythei,Patagonotothen_ramsayi
Antarcturidae,Patagonotothen_ramsayi
Natatolana_pastorei,Patagonotothen_ramsayi
Eunereis_patagonica,Patagonotothen_ramsayi
Nicolea_chilensis,Patagonotothen_ramsayi
Nicon_maculata,Patagonotothen_ramsayi
Pista_spp,Patagonotothen_ramsayi
Terebellides_malvinensis,Patagonotothen_ramsayi
Thelepus_sp,Patagonotothen_ramsayi
Salpidae,Patagonotothen_ramsayi
Calanus_spp,Pelecanoides_sp
Clausocalanus_spp,Pelecanoides_sp
Ctenocalanus_vanus,Pelecanoides_sp
Drepanopus_forcipatus,Pelecanoides_sp
Neocalanus_tonsus,Pelecanoides_sp
Oithona_spp,Pelecanoides_sp
Rhincalanus_gigas,Pelecanoides_sp
Diatoms_benthic,Cnemidocarpa_spp
Diatoms_centric,Cnemidocarpa_spp
Diatoms_pennate,Cnemidocarpa_spp
Colossendeis_megalonyx,Asbestopluma_sp
Larvae_Nauplii,Asbestopluma_sp
Azadinium_sp,Halichondrida
Dinoflagellates_heterosol,Halichondrida
Gymnodinium_sp,Halichondrida
Brachiopoda_spp,Enteroctopus_megalocyathus
Brachiopoda_spp,Falsilunatia_carcellesi
Brachiopoda_spp,Fuegotrophon_pallidus
Diatoms_benthic,Brachiopoda_spp
Brachiopoda_spp,Patagonotothen_cornucola
Brachiopoda_spp,Patagonotothen_elegans
Brachiopoda_spp,Patagonotothen_guntheri
Brachiopoda_spp,Patagonotothen_kreffti
Brachiopoda_spp,Patagonotothen_ramsayi
Brachiopoda_spp,Tectonatica_impervia
Brachiopoda_spp,Trophon_geversianus
Brachiopoda_spp,Trophon_ohlini
Brachiopoda_spp,Trophon_plicatus
Tinerfe_cyanea,Bathyraja_albomaculata
Tinerfe_cyanea,Bathyraja_brachyurops
Tinerfe_cyanea,Bathyraja_griseocauda
Tinerfe_cyanea,Bathyraja_macloviana
Tinerfe_cyanea,Cottoperca_trigloides
Tinerfe_cyanea,Dissostichus_eleginoides
Tinerfe_cyanea,Iluocoetes_fimbriatus
Tinerfe_cyanea,Patagonotothen_ramsayi
Tinerfe_cyanea,Psammobatis_rudis
Tinerfe_cyanea,Salilota_australis
Diatoms_benthic,Ophiocten_amitinum
Diatoms_centric,Ophiocten_amitinum
Diatoms_pennate,Ophiocten_amitinum
Themisto_gaudichaudii,Tryphosites_chevreuxi
Campylonotus_vagans,Macrourus_carinatus
Thymops_birsteini,Macrourus_carinatus
Patagonotothen_ramsayi,Macrourus_carinatus
Coelorinchus_fasciatus,Macrourus_carinatus
