ID,Prey,PreyGroup,Predator,PredGroup,PredStrategy,FoodSource,Reference,Reference_link,Observation
1,Diatoms_benthic,Diatoms,Abyssianira_argentenensis,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
2,Diatoms_centric,Diatoms,Abyssianira_argentenensis,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
3,Diatoms_pennate,Diatoms,Abyssianira_argentenensis,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
4,Porifera *,Porifera,Abyssianira_argentenensis,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,* need to be more specific (which Porifera?)
5,Diatoms_benthic,Diatoms,Abyssianira_dentifrons,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
6,Diatoms_centric,Diatoms,Abyssianira_dentifrons,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
7,Diatoms_pennate,Diatoms,Abyssianira_dentifrons,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Bacillariophyceae
8,Porifera *,Porifera,Abyssianira_dentifrons,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,* need to be more specific (which Porifera?)
9,Porifera *,Porifera,Abyssianira_sp1,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
10,Porifera *,Porifera,Abyssianira_sp2,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
11,Porifera *,Porifera,Abyssianira_sp3,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
