ID,Prey,PreyGroup,Predator,PredGroup,PredStrategy,FoodSource,Reference,Reference_link,Observation
1477,Munida_gregaria,Decapoda,Macruronus_novaezelandiae,Fish_BenPel,Hunter,Heterotroph,Alvarez_etal_2022,https://doi.org/10.1007/s00300-022-03063-y,
559,Emiliania_huxleyi,Coccolithophorids,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
560,Phaeocystis_antarctica,Coccolithophorids,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
561,Fragilariopsis_kerguelensis,Diatoms,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
564,Paralia_sulcata,Diatoms,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
566,Rhizosolenia_crassa,Diatoms,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
574,Protoperidinium_sp,Dinoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
577,Dictyocha_speculum,Silicoflagellates,Calanus_spp,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,Aggregated: Calanus_australis and Calanus_simillimus
969,Emiliania_huxleyi,Coccolithophorids,Drepanopus_forcipatus,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,
970,Phaeocystis_antarctica,Coccolithophorids,Drepanopus_forcipatus,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,
971,Fragilariopsis_kerguelensis,Diatoms,Drepanopus_forcipatus,Zooplankton,Suspension-feeder,Primary producer,Antacli_etal_2014,https://doi.org/10.1590/S1679-87592014073406204,
