,Prey,PreyGroup,Predator,PredGroup,PredStrategy,FoodSource,Reference,Reference_link,Observation
1,Bacillariophyceae *,Bacillariophyceae,Abyssianira_argentenensis,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,* need to be more specific (which Bacillariophyceae?)
2,Porifera *,Porifera,Abyssianira_argentenensis,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,* need to be more specific (which Porifera?)
3,Bacillariophyceae *,Bacillariophyceae,Abyssianira_dentifrons,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,* need to be more specific (which Bacillariophyceae?)
4,Porifera *,Porifera,Abyssianira_dentifrons,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,* need to be more specific (which Porifera?)
5,Bacillariophyceae *,Bacillariophyceae,Abyssianira_sp1,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
6,Porifera *,Porifera,Abyssianira_sp1,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
7,Bacillariophyceae *,Bacillariophyceae,Abyssianira_sp2,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
8,Porifera *,Porifera,Abyssianira_sp2,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
9,Bacillariophyceae *,Bacillariophyceae,Abyssianira_sp3,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
10,Porifera *,Porifera,Abyssianira_sp3,Isopoda,Deposit-feeder,Heterotroph,Menzies_1962,https://doi.org/10.1002/iroh.19620470303,Inferred from Abyssianira dentifrons. B. Doti com. pers.
11,Detritus,Non-living,Acanthoserolis_schythei,Isopoda,Deposit-feeder,Detritus,LeBourg_PhDTesis_2020,https://www.researchgate.net/publication/342305523_Trophic_ecology_of_Southern_Ocean_sea_stars_Influence_of_environmental_drivers_on_trophic_diversity,
12,Necromass,Non-living,Acodontaster_elongatus,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.,,
13,Porifera *,Porifera,Acodontaster_elongatus,Echinodermata,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/45328534,* need to be more specific (which Porifera?)
14,Necromass,Non-living,Acodontaster_sp,Echinodermata,Scavenger,Necromass,Fraysse_pers.com.,,
15,Ampharete_kerguelensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Ampharete,
16,Eteone_sp,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Eteone,* need to be more specific (which Actinopterygii?)
17,Nephtys_sp,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Nephtys,
18,Orbiniidae,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Orbiniidae,
19,Paraonidae,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Paraonidae,
20,Terebellides_malvinensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Terebellides,* need to be more specific (which Actinopterygii?)
21,Travisia_kerguelensis,Polychaeta,Actinopterygii *,Fish_BenPel,Hunter,Heterotroph,GloBI,https://www.globalbioticinteractions.org/browse/?interactionType=interactsWith&resultType=json&sourceTaxon=Travisia,
22,Eurhomalea_sp,Bivalvia,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Encyclopedia of Life,https://eol.org/pages/46469961,
23,Fusitriton_magellanicus,Gastropoda,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Botto_etal_2006,https://doi.org/10.1016/j.fishres.2006.06.001,
24,Zooplankton *,Zooplankton,Adelomelon_ancilla,Gastropoda,Hunter,Heterotroph,Pastorino_pers.com.,,Inferred from Volutidae; * need to be more specific (which Zooplankton?)
