ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole
1,Diatoms_centric,Diatoms,61,0,61,0,0.001037344398340249,1,0,0.027322528270294452,modhub
2,Abyssianira_argentenensis,Isopoda,3,3,0,0,7.44047619047619e-4,2,0,0.06380840412003734,modspe
3,Abyssianira_dentifrons,Isopoda,3,3,0,0,7.44047619047619e-4,2,0,0.06380840412003734,modspe
4,Abyssianira_spp,Isopoda,3,3,0,0,7.44047619047619e-4,2,0,0.06380840412003734,modspe
5,Detritus,Non-living,143,0,143,0,0.0012578616352201257,1,0,0.011590000037607094,modhub
6,Acanthoserolis_schythei,Isopoda,7,1,6,2.126238037037441,0.0010330578512396695,2,0,0.07108272410599505,modcon
7,Necromass,Non-living,32,0,32,0,9.319664492078285e-4,1,0,0.017554220126642536,modspe
8,Acodontaster_elongatus,Echinodermata,1,1,0,0,6.807351940095302e-4,2,0,0.024149378488313878,modspe
9,Acodontaster_sp,Echinodermata,1,1,0,0,6.807351940095302e-4,2,0,0.024149378488313878,modspe
10,Eurhomalea_sp,Bivalvia,5,0,5,0,6.91085003455425e-4,1,0,0.023615604655487166,modspe
11,Adelomelon_ancilla,Gastropoda,5,3,2,102.22777777777779,8.375209380234506e-4,3.167,0.774,0.01463512472331038,modspe
12,Fusitriton_magellanicus,Gastropoda,8,5,3,216.29166666666666,7.77000777000777e-4,3.124,0.025,0.007247033148771869,modspe
13,Zygochlamys_patagonica,Bivalvia,20,9,11,220.84122807017542,0.001049317943336831,2.377,0.288,0.05604890794907506,modcon
14,Advenogonium_fuegiae,Isopoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
15,Eteone_aurantiaca,Polychaeta,13,9,4,139.7656118132104,0.0010298661174047373,3.133,0.714,0.05699826228027699,modspe
16,Aglaophamus_virginis,Polychaeta,10,6,4,282.0142551892552,9.208103130755065e-4,3.732,0.387,0.02935558009511557,modspe
17,Eteone_sp,Polychaeta,16,12,4,257.47275467035325,0.0010330578512396695,3.392,0.751,0.05266176317902474,modspe
18,Foraminifera,Foraminifera,37,1,36,26.85468415232566,0.0011173184357541898,2,0,0.03009423501453528,modcon
19,Lumbrineriidae,Polychaeta,3,1,2,11,7.961783439490446e-4,3.5,0,0.01040060703399874,modspe
20,Orbiniidae,Polychaeta,11,5,6,13.166666666666664,8.673026886383347e-4,2.2,0.16,0.04436144467838348,modspe
21,Syllidae,Polychaeta,9,6,3,13.333333333333334,9.46073793755913e-4,2.167,0.139,0.08038779247736798,modspe
22,Alcyonium_antarcticum,Cnidaria,5,3,2,3,8.19672131147541e-4,2,0,0.04902857887678139,modspe
23,Allorostrata_ovalis,Isopoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
24,Allorostrata_scutifrons,Isopoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
25,Amblyraja_georgiana,Fish_Chond,26,26,0,0,9.75609756097561e-4,3.488,0.691,0.027460824340469644,modcon
26,Austrocidaris_canaliculata,Echinodermata,7,2,5,108.12499999999999,8.635578583765112e-4,3.167,0.028,0.026990191790135926,modspe
27,Austrocidaris_spinulosida,Echinodermata,5,0,5,0,7.587253414264037e-4,1,0,0.024021605858170585,modspe
28,Boccardia_sp,Polychaeta,14,7,7,19.78690476190476,9.823182711198428e-4,2.314,0.25,0.06659243598296385,modspe
29,Doryteuthis_gahi,Cephalopoda,42,5,37,2283.883684398359,9.017132551848512e-4,3.42,0.824,0.03185954110357135,modhub
30,Eucranta_sp,Polychaeta,2,0,2,0,7.598784194528875e-4,1,0,0.01825178546688672,modspe
31,Euphausia_spp,Zooplankton,58,13,45,628.0404629988747,0.001098901098901099,2.528,0.338,0.04520942244607228,modhub
32,Harmothoe_sp,Polychaeta,14,8,6,150.88482890826484,0.0010298661174047373,2.474,0.873,0.06454980652965234,modcon
33,Hermadion_magalhaensi,Polychaeta,2,0,2,0,7.598784194528875e-4,1,0,0.01825178546688672,modspe
34,Lepidonotothen_squamifrons,Fish_BenPel,16,9,7,200.8728970948745,9.328358208955224e-4,3.125,0.777,0.030246531892834418,modspe
35,Metepimeria_acanthurus,Amphipoda,2,1,1,1,7.434944237918215e-4,3.25,0,0.010142508447092018,modspe
36,Muraenolepis_marmorata,Fish_BenPel,4,1,3,1.5137426900584794,7.668711656441718e-4,3.485,0,0.02002110634653626,modspe
37,Muraenolepis_orangiensis,Fish_BenPel,3,0,3,0,7.309941520467836e-4,1,0,0.02096869190571395,modspe
38,Muraenolepis_sp,Fish_BenPel,10,3,7,76.4082878324728,8.628127696289905e-4,3.934,0.366,0.0327938779714566,modspe
39,Natatolana_pastorei,Isopoda,3,1,2,2.3,7.92393026941363e-4,2,0,0.03177176006424702,modspe
40,Neoserolis_exigua,Isopoda,7,1,6,2.126238037037441,0.0010330578512396695,2,0,0.07108272410599505,modcon
41,Nephtys_sp,Polychaeta,14,8,6,74.82218789798235,0.001040582726326743,2.841,0.882,0.07719382902643887,modspe
42,Patagonotothen_guntheri,Fish_BenPel,70,58,12,2078.8765250891943,0.0010893246187363835,3.177,0.493,0.03454606891924559,modcon
43,Polydora_sp,Polychaeta,16,10,6,302.3855680868839,9.009009009009009e-4,2.721,0.54,0.04238451767324926,modspe
44,Polyeunoa_laevis,Polychaeta,5,2,3,46.905168854647506,9.746588693957114e-4,2.5,0.25,0.06597771160489556,modspe
45,Spiophanes_sp,Polychaeta,9,3,6,4.092460317460318,9.478672985781991e-4,2.733,0.276,0.05305068231291733,modspe
46,Themisto_gaudichaudii,Amphipoda,41,9,32,341.28561467421764,0.0010615711252653928,2.984,0.499,0.04843129065898851,modspe
47,Trophon_geversianus,Gastropoda,18,14,4,170.73318713450294,9.267840593141798e-4,2.098,0.126,0.025508212787943303,modspe
48,Trophon_ohlini,Gastropoda,17,14,3,149.2331871345029,9.225092250922509e-4,2.098,0.126,0.02544225483995588,modspe
49,Trophon_plicatus,Gastropoda,17,14,3,149.2331871345029,9.225092250922509e-4,2.098,0.126,0.02544225483995588,modspe
50,Ampharete_kerguelensis,Polychaeta,8,6,2,4.418582145171023,0.0010256410256410256,2.167,0.139,0.10335194548854745,modspe
51,Bacteria,Bacteria,22,0,22,0,8.59106529209622e-4,1,0,0.015373330007249851,modspe
52,Anasterias_antarctica,Echinodermata,3,3,0,0,6.798096532970768e-4,3.098,0,0.021239946420195492,modspe
53,Halicarcinus_planatus,Decapoda,7,2,5,178.66588314036179,9.940357852882703e-4,3.366,1.866,0.05331748805043965,modcon
54,Anasterias_sp,Echinodermata,9,9,0,0,8.183306055646482e-4,2.771,0.625,0.008873214883428997,modspe
55,Pagurus_comptus,Decapoda,15,5,10,35.69444979052725,0.0010548523206751054,2,0,0.05225064573391784,modspe
56,Pareuthria_atrata,Gastropoda,2,0,2,0,7.674597083653108e-4,1,0,0.028555665699064238,modspe
57,Pareuthria_fuscata,Gastropoda,2,0,2,0,7.674597083653108e-4,1,0,0.028555665699064238,modspe
58,Pareuthria_venustula,Gastropoda,2,0,2,0,7.674597083653108e-4,1,0,0.028555665699064238,modspe
59,Tonicia_lebruni,Polyplacophora,4,2,2,1.0357142857142856,9.049773755656109e-4,2,0,0.07635010276668514,modspe
60,Turbonilla_strebeli,Gastropoda,2,0,2,0,6.675567423230974e-4,1,0,0.008152661643801554,modspe
61,Anobothrus_sp,Polychaeta,3,1,2,0.42700437596167484,9.75609756097561e-4,2,0,0.10947020115389927,modspe
62,Azadinium_sp,Dinoflagellates,16,0,16,0,8.718395815170009e-4,1,0,0.03717845183595603,modspe
63,Aplidium_falklandicum,Ascidiacea,15,13,2,4.375000000000001,9.478672985781991e-4,2.25,0.212,0.071314302689413,modspe
64,Dinophysis_acuminata,Dinoflagellates,19,0,19,0,9.149130832570906e-4,1,0,0.03799099644265436,modspe
65,Emiliania_huxleyi,Coccolithophorids,15,0,15,0,8.64304235090752e-4,1,0,0.025143213261385133,modspe
66,Gymnodinium_sp,Dinoflagellates,26,5,21,154.6300330104678,9.267840593141798e-4,2,0,0.043955268878216554,modspe
67,Gyrodinium_sp,Dinoflagellates,20,3,17,5.533333333333333,9.182736455463728e-4,2,0,0.050118595883211006,modspe
68,Gyrodinium_spirale,Dinoflagellates,16,0,16,0,8.718395815170009e-4,1,0,0.03717845183595603,modspe
69,Phaeocystis_antarctica,Coccolithophorids,15,0,15,0,8.64304235090752e-4,1,0,0.025143213261385133,modspe
70,Protoperidinium_sp,Dinoflagellates,28,4,24,59.583333333333336,9.746588693957114e-4,2.25,0.187,0.048903374233580876,modspe
71,Aplidium_fuegiense,Ascidiacea,15,13,2,4.375000000000001,9.478672985781991e-4,2.25,0.212,0.071314302689413,modspe
72,Aplidium_globosum,Ascidiacea,16,13,3,10.374999999999998,9.514747859181732e-4,2.25,0.212,0.0682590032868424,modspe
73,Aplidium_meridianum,Ascidiacea,15,13,2,4.375000000000001,9.478672985781991e-4,2.25,0.212,0.071314302689413,modspe
74,Aplidium_polarsterni,Ascidiacea,16,13,3,10.374999999999998,9.514747859181732e-4,2.25,0.212,0.0682590032868424,modspe
75,Appendicularia_spp,Zooplankton,11,8,3,143.7996176367536,9.84251968503937e-4,2.431,0.314,0.04968312408853678,modspe
76,Synechococcus_sp,Phytoplankton_Misc,2,0,2,0,7.423904974016332e-4,1,0,0.007144101001797744,modspe
77,Coelorinchus_fasciatus,Fish_Demersal,16,8,8,217.71484932644321,9.090909090909091e-4,3.363,0.46,0.03620272717127792,modspe
78,Arctocephalus_australis,MarineMammals_2,25,25,0,0,8.920606601248885e-4,3.807,1.144,0.03538092872200739,modspe
79,Coelorinchus_kayomaru,Fish_Demersal,3,0,3,0,7.158196134574087e-4,1,0,0.016567215308746712,modspe
80,Coelorinchus_marinii,Fish_Demersal,8,5,3,5.979175401816911,8.952551477170994e-4,3.279,0.621,0.02909263813007012,modspe
81,Dissostichus_eleginoides,Fish_BenPel,54,30,24,3465.5722846593167,0.0010224948875255625,3.641,0.976,0.03725306637876176,modhub
82,Enteroctopus_megalocyathus,Cephalopoda,30,16,14,681.1788315899042,9.45179584120983e-4,2.934,0.454,0.031509545931054594,modspe
83,Genypterus_blacodes,Fish_Demersal,12,8,4,47.13312326075484,8.368200836820083e-4,3.776,0.582,0.04142401949189421,modspe
84,Guttigadus_kongi,Fish_Demersal,3,0,3,0,7.183908045977011e-4,1,0,0.01870212379930273,modspe
85,Macrourus_carinatus,Fish_BenPel,17,13,4,20.453770107755247,9.090909090909091e-4,3.901,0.511,0.03023603937095895,modspe
86,Macrourus_holotrachys,Fish_BenPel,17,11,6,133.91507317666705,9.416195856873823e-4,3.56,0.472,0.03754510770247724,modspe
87,Macrourus_whitsoni,Fish_BenPel,6,2,4,0.6351073877389667,8.025682182985554e-4,3.974,0.199,0.03194676524515735,modspe
88,Macruronus_novaezelandiae,Fish_BenPel,9,0,9,0,7.593014426727411e-4,1,0,0.023449190771515825,modspe
89,Micromesistius_australis,Fish_Pel,27,5,22,330.58722843714366,8.613264427217916e-4,3.519,0.671,0.031197943614046993,modspe
90,Munida_gregaria,Decapoda,30,2,28,31.753533355643583,0.0010427528675703858,2.5,0.25,0.04211085493794325,modspe
91,Notophycis_marginata,Fish_BenPel,6,0,6,0,7.44047619047619e-4,1,0,0.026300033579235566,modspe
92,Patagonotothen_cornucola,Fish_BenPel,9,3,6,3.125,7.587253414264037e-4,2,0,0.029277544869325666,modspe
93,Patagonotothen_elegans,Fish_BenPel,8,3,5,2.5249999999999995,7.552870090634441e-4,2,0,0.02994951282537657,modspe
94,Patagonotothen_kreffti,Fish_BenPel,8,3,5,2.4749999999999996,7.547169811320754e-4,2,0,0.027908901975475717,modspe
95,Patagonotothen_ramsayi,Fish_BenPel,39,26,13,634.7299059851133,0.0010090817356205853,3.283,0.663,0.04050537774340496,modspe
96,Salilota_australis,Fish_Demersal,18,13,5,2523.2100110808724,9.149130832570906e-4,4.09,0.399,0.04467270970978344,modspe
97,Sprattus_fuegensis,Fish_Pel,40,17,23,453.39588840497544,0.0010204081632653062,3.349,0.549,0.04259578668624556,modspe
98,Ardenna_gravis,SeaBirds,6,6,0,0,8.396305625524769e-4,3.82,0.79,0.04907401740626678,modspe
99,Ardenna_grisea,SeaBirds,6,6,0,0,8.396305625524769e-4,3.82,0.79,0.04907401740626678,modspe
100,Oithona_spp,Zooplankton,28,13,15,758.0201455200528,9.881422924901185e-4,2.466,0.37,0.04514545491734136,modspe
101,Asbestopluma_sp,Porifera,1,1,0,0,7.102272727272727e-4,3.466,0,0.009203171970015474,modspe
102,Astrotoma_agassizii,Echinodermata,10,8,2,67.11111111111111,0.001001001001001001,2.441,0.347,0.07647357670659416,modspe
103,Dictyocha_speculum,Silicoflagellates,12,0,12,0,8.583690987124463e-4,1,0,0.03014295113400151,modspe
104,Puncturella_conica,Gastropoda,4,3,1,54.49999999999999,8.952551477170994e-4,2.333,0.222,0.07498922215827385,modspe
105,Haliclona_sp,Porifera,8,4,4,15.375,9.532888465204957e-4,2,0,0.07829486558548439,modcon
106,Austrodoris_sp,Gastropoda,4,1,3,14.975274725274724,8.496176720475786e-4,3,0,0.017459956828107626,modcon
107,Austrofilius_furcatus,Isopoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
108,Austrofilius_sp,Isopoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
109,Austronanus_dentatus,Isopoda,1,1,0,0,8.396305625524769e-4,2,0,0.19167070797261224,modspe
110,Calanus_spp,Zooplankton,38,20,18,600.5546461148326,0.0011248593925759281,2.263,0.309,0.04745127620600126,modspe
111,Balaenoptera_acutorostrata,MarineMammals_1,13,13,0,0,8.833922261484099e-4,3.489,0.343,0.04847933722548667,modspe
112,Clausocalanus_spp,Zooplankton,31,17,14,159.61465886327235,9.319664492078285e-4,2.309,0.349,0.03805926413600388,modspe
113,Ctenocalanus_vanus,Zooplankton,33,20,13,136.1953974751329,9.398496240601503e-4,2.42,0.45,0.04073656759075868,modspe
114,Drepanopus_forcipatus,Zooplankton,20,7,13,38.016428201783455,9.099181073703367e-4,2.179,0.191,0.03815279113484226,modspe
115,Munida_spinosa,Decapoda,8,0,8,0,7.541478129713424e-4,1,0,0.014331973065098848,modspe
116,Neocalanus_tonsus,Zooplankton,23,10,13,30.191877541570467,9.107468123861566e-4,2.439,0.294,0.045795508031131145,modspe
117,Rhincalanus_gigas,Zooplankton,31,19,12,110.26889532231492,0.0010111223458038423,2.407,0.401,0.038323189194191,modspe
118,Balaenoptera_bonaerensis,MarineMammals_1,10,10,0,0,8.561643835616438e-4,3.534,0.116,0.04787728938675324,modspe
119,Balaenoptera_borealis,MarineMammals_1,12,12,0,0,8.771929824561404e-4,3.404,0.276,0.04765331880889345,modspe
120,Balaenoptera_physalus,MarineMammals_1,12,12,0,0,8.771929824561404e-4,3.404,0.276,0.04765331880889345,modspe
121,Bathybiaster_loripes,Echinodermata,4,4,0,0,8.904719501335708e-4,3.104,0.406,0.06753400763891951,modspe
122,Bathyraja_albomaculata,Fish_Chond,11,10,1,79.27906162464987,8.920606601248885e-4,3.456,0.73,0.027159725827230644,modspe
