ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole,Habitat
1,Diatoms_benthic,Diatoms,74,0,74,0,0.0011750881316098707,1,0,0.026447617735991986,modhub,NA
2,Abyssianira_argentenensis,Isopoda,3,3,0,0,8.389261744966443e-4,2,0,0.07834394836524872,modspe,NA
3,Diatoms_centric,Diatoms,72,0,72,0,0.0011668611435239206,1,0,0.026515742537109182,modhub,NA
4,Diatoms_pennate,Diatoms,72,0,72,0,0.0011574074074074073,1,0,0.027232553186405127,modhub,NA
5,Abyssianira_dentifrons,Isopoda,3,3,0,0,8.389261744966443e-4,2,0,0.07834394836524872,modspe,NA
6,Abyssianira_spp,Isopoda,3,3,0,0,8.389261744966443e-4,2,0,0.07834394836524872,modspe,NA
7,Detritus,Non-living,154,0,154,0,0.0014347202295552368,1,0,0.014051663045349739,hubcon,NA
8,Acanthoserolis_schythei,Isopoda,16,1,15,4.447613573630234,0.0011441647597254005,2,0,0.05973692533572405,modspe,NA
9,Necromass,Non-living,31,0,31,0,0.001,1,0,0.015594370830699091,modspe,NA
10,Acodontaster_elongatus,Echinodermata,1,1,0,0,7.25689404934688e-4,2,0,0.02391270751951867,modspe,Benthic
11,Acodontaster_sp,Echinodermata,2,1,1,0.5,8.326394671107411e-4,2,0,0.02679921160115386,modspe,Benthic
12,Foraminifera,Foraminifera,44,1,43,27.430400964550724,0.0012300123001230013,2,0,0.029407942796385422,modcon,NA
13,Actinauge_longicornis,Cnidaria_benthic,2,1,1,0.2,8.849557522123894e-4,3,0,0.029203326777015495,modspe,NA
14,Polycheria_spp,Amphipoda,6,4,2,3.908333333333333,0.0010362694300518134,2,0,0.10779108284661741,modspe,NA
15,Actinostola_crassicornis,Cnidaria_benthic,7,6,1,6.142857142857143,8.613264427217916e-4,2.833,0.139,0.008980391659010668,modspe,NA
16,Eatoniella_spp,Gastropoda,2,1,1,0.25,9.407337723424271e-4,2,0,0.11482548856202429,modspe,Benthic
17,Liotella_crassicostata,Gastropoda,2,1,1,0.25,9.407337723424271e-4,2,0,0.11482548856202429,modspe,Benthic
18,Odostomia_sp,Gastropoda,5,0,5,0,7.633587786259542e-4,1,0,0.017535289731089792,modspe,Benthic
19,Onoba_spp,Gastropoda,2,1,1,0.25,9.407337723424271e-4,2,0,0.11482548856202429,modspe,Benthic
20,Scissurella_clathrata,Gastropoda,2,1,1,1.1428571428571428,7.451564828614009e-4,2,0,0.01601501325185536,modspe,Benthic
21,Zygochlamys_patagonica,Bivalvia,18,8,10,115.03155758124667,0.0011862396204033216,2.286,0.25,0.0736957459962302,modcon,NA
22,Adelomelon_ancilla,Gastropoda,5,3,2,103.5594696969697,8.976660682226212e-4,3.464,0.22,0.014292125148687147,modspe,Benthic
23,Fusitriton_magellanicus,Gastropoda,8,5,3,211.59166666666667,8.517887563884157e-4,3.107,0.017,0.0070391999482532115,modspe,Benthic
24,Eurhomalea_sp,Bivalvia,8,4,4,7.479166666666666,8.833922261484099e-4,2,0,0.05864483707480394,modspe,NA
25,Advenogonium_fuegiae,Isopoda,1,1,0,0,9.302325581395349e-4,2,0,0.18058474892840218,modspe,NA
26,Aega_semicarinata,Isopoda,3,1,2,0.7672413793103449,0.0010090817356205853,2,0,0.08806053557021024,modspe,NA
27,Aglaophamus_virginis,Polychaeta,10,5,5,180.71949138674947,0.0010080645161290322,3.607,0.368,0.033062045140852,modspe,Benthic
28,Lumbrineridae,Polychaeta,5,1,4,9.666666666666666,8.756567425569177e-4,3.5,0,0.018718445026984838,modspe,Benthic
29,Orbiniidae,Polychaeta,12,5,7,14.07496229260935,9.98003992015968e-4,2.2,0.16,0.0563437015507691,modspe,Benthic
30,Eteone_spp,Polychaeta,16,11,5,216.76397298200433,0.0011534025374855825,3.166,0.839,0.05984375235212277,modspe,Benthic
31,Syllidae,Polychaeta,8,6,2,8.25,0.0010718113612004287,2.167,0.139,0.10449783255406085,modspe,Benthic
