ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole,Habitat
1,Detritus,Non-living,153,0,153,0,0.001430615164520744,1,0,0.01399166378419583,hubcon,NA
2,Bathybiaster_loripes,Echinodermata,5,4,1,27.749999999999996,0.001002004008016032,3.165,0.463,0.06661424693363828,modspe,Benthic
3,Calanus_spp,Zooplankton,36,16,20,510.0676117225695,0.0012360939431396785,2.5,0.375,0.05787800224901687,modhub,Pelagic
4,Ophiacantha_vivipara,Echinodermata,7,6,1,26.99047619047619,8.710801393728223e-4,3.441,0.052,0.02535869679248722,modspe,Benthic
5,Clausocalanus_spp,Zooplankton,27,13,14,142.74912580770115,0.001049317943336831,2.615,0.391,0.04972464497659277,modspe,Pelagic
6,Ctenocalanus_vanus,Zooplankton,29,16,13,122.52536307569729,0.0010570824524312897,2.696,0.457,0.05285035976383777,modhub,Pelagic
7,Drepanopus_forcipatus,Zooplankton,20,7,13,39.4157798874546,0.0010256410256410256,2,0,0.049026305866877604,modspe,Pelagic
8,Neocalanus_tonsus,Zooplankton,20,7,13,22.868176583476856,0.0010235414534288639,2.327,0.272,0.05581170812101815,modspe,Pelagic
9,Oithona_spp,Zooplankton,28,12,16,615.4011649389485,0.0010905125408942203,2.51,0.408,0.0524891911097427,modcon,Pelagic
10,Leucothoe_spinicarpa,Amphipoda,2,1,1,0.1303145836310124,0.00102880658436214,2,0,0.13135916299778178,modspe,NA
11,Munida_gregaria,Decapoda,32,2,30,32.83663870771972,0.0011494252873563218,2.5,0.25,0.04794055326534934,modspe,NA
12,Cottoperca_trigloides,Fish_BenPel,20,16,4,611.7,9.80392156862745e-4,3.983,1.036,0.04701351206419408,modspe,Benthopelagic
13,Eurypodius_latreillii,Decapoda,6,2,4,1.1428571428571428,9.852216748768472e-4,3.25,0.063,0.04149254322069093,modspe,NA
14,Genypterus_blacodes,Fish_Demersal,13,8,5,50.01724403400875,9.149130832570906e-4,3.881,0.697,0.04436937999292768,modspe,Demersal
15,Diatoms_centric,Diatoms,71,0,71,0,0.0011695906432748538,1,0,0.027044445589356012,hubcon,NA
16,Foraminifera,Foraminifera,42,1,41,26.104206572107987,0.0012285012285012285,2,0,0.030324901219599375,modcon,NA
17,Psammobatis_rudis,Fish_Chond,3,2,1,0,8.453085376162299e-4,3.878,0.143,0.015012210856939802,modspe,NA
18,Salilota_australis,Fish_Demersal,18,13,5,2470.3505195710054,0.0010131712259371835,4.19,0.503,0.05251952573065577,modspe,Demersal
