ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole,Habitat
1,Diatoms_benthic,Diatoms,74,0,74,0,0.0011806375442739079,1,0,0.026575615430018854,modhub,NA
2,Abyssianira_argentenensis,Isopoda,3,3,0,0,8.424599831508003e-4,2,0,0.07842194279608532,modspe,NA
3,Diatoms_centric,Diatoms,72,0,72,0,0.0011737089201877935,1,0,0.02670340642909089,modhub,NA
4,Diatoms_pennate,Diatoms,72,0,72,0,0.0011641443538998836,1,0,0.02736278390390218,modhub,NA
5,Abyssianira_dentifrons,Isopoda,3,3,0,0,8.424599831508003e-4,2,0,0.07842194279608532,modspe,NA
6,Abyssianira_spp,Isopoda,3,3,0,0,8.424599831508003e-4,2,0,0.07842194279608532,modspe,NA
7,Detritus,Non-living,153,0,153,0,0.0014367816091954023,1,0,0.01421944314044181,hubcon,NA
8,Acanthoserolis_schythei,Isopoda,20,5,15,218.57886565359942,0.001201923076923077,3.335,0.513,0.05557862327256239,modspe,NA
9,Laetmonice_producta,Polychaeta,9,6,3,141.8262106597024,0.0010964912280701754,2.798,1.324,0.08727432460005397,modcon,Benthic
10,Pelagobia_longicirrata,Polychaeta,15,6,9,82.10748246151608,0.0010395010395010396,2.306,0.684,0.039785187700903175,modspe,Benthic
11,Polyeunoa_laevis,Polychaeta,7,2,5,56.78653035214518,0.0010940919037199124,2.5,0.25,0.06749508816768188,modcon,Benthic
12,Themisto_gaudichaudii,Zooplankton,45,9,36,405.6056866001783,0.0011890606420927466,3.072,0.603,0.05287254635937016,modspe,Pelagic
13,Necromass,Non-living,31,0,31,0,0.0010030090270812437,1,0,0.015627040474041357,modspe,NA
14,Acodontaster_elongatus,Echinodermata,1,1,0,0,7.27802037845706e-4,2,0,0.023975801734609746,modspe,Benthic
15,Acodontaster_sp,Echinodermata,2,1,1,0.5,8.35421888053467e-4,2,0,0.026793599071399724,modspe,Benthic
16,Foraminifera,Foraminifera,44,1,43,27.430400964550728,0.0012330456226880395,2,0,0.029507185320922388,modcon,NA
