ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole,Habitat
1,Diatoms_benthic,Diatoms,74,0,74,0,0.001176470588235294,1,0,0.02650567959993986,modhub,NA
2,Abyssianira_argentenensis,Isopoda,3,3,0,0,8.396305625524769e-4,2,0,0.07821778067329156,modspe,NA
3,Diatoms_centric,Diatoms,72,0,72,0,0.0011695906432748538,1,0,0.026603633650669985,modhub,NA
4,Diatoms_pennate,Diatoms,72,0,72,0,0.001160092807424594,1,0,0.02729077657783928,modhub,NA
5,Abyssianira_dentifrons,Isopoda,3,3,0,0,8.396305625524769e-4,2,0,0.07821778067329156,modspe,NA
6,Abyssianira_spp,Isopoda,3,3,0,0,8.396305625524769e-4,2,0,0.07821778067329156,modspe,NA
7,Detritus,Non-living,153,0,153,0,0.001430615164520744,1,0,0.014182179859891286,hubcon,NA
8,Acanthoserolis_schythei,Isopoda,20,5,15,218.57886565359942,0.001199040767386091,3.335,0.513,0.055501286043399004,modspe,NA
9,Laetmonice_producta,Polychaeta,9,6,3,141.8262106597024,0.001092896174863388,2.798,1.324,0.08704625994610003,modcon,Benthic
10,Pelagobia_longicirrata,Polychaeta,15,6,9,82.10748246151608,0.0010362694300518134,2.306,0.684,0.039683271634459824,modspe,Benthic
11,Polyeunoa_laevis,Polychaeta,7,2,5,56.78653035214518,0.0010905125408942203,2.5,0.25,0.0673192452089055,modcon,Benthic
12,Themisto_gaudichaudii,Zooplankton,45,9,36,405.6056866001783,0.001184834123222749,3.072,0.603,0.05274678898937895,modspe,Pelagic
13,Necromass,Non-living,31,0,31,0,0.001,1,0,0.015588073715244266,modspe,NA
14,Acodontaster_elongatus,Echinodermata,1,1,0,0,7.25689404934688e-4,2,0,0.02391270751951867,modspe,Benthic
15,Acodontaster_sp,Echinodermata,2,1,1,0.5,8.326394671107411e-4,2,0,0.0267230896001592,modspe,Benthic
16,Foraminifera,Foraminifera,44,1,43,27.430400964550724,0.0012285012285012285,2,0,0.029385715137234612,modcon,NA
17,Actinauge_longicornis,Cnidaria_benthic,2,1,1,0.2,8.841732979664014e-4,3,0,0.029159492319918278,modspe,NA
18,Polycheria_spp,Amphipoda,6,4,2,3.908333333333333,0.001034126163391934,2,0,0.10731298665141989,modspe,NA
19,Actinostola_crassicornis,Cnidaria_benthic,7,6,1,6.142857142857143,8.605851979345956e-4,2.833,0.139,0.008962418794909744,modspe,NA
20,Eatoniella_spp,Gastropoda,2,1,1,0.25,9.389671361502347e-4,2,0,0.11406187609949543,modspe,Benthic
21,Liotella_crassicostata,Gastropoda,2,1,1,0.25,9.389671361502347e-4,2,0,0.11406187609949543,modspe,Benthic
22,Odostomia_sp,Gastropoda,5,0,5,0,7.633587786259542e-4,1,0,0.017535289731089792,modspe,Benthic
23,Onoba_spp,Gastropoda,2,1,1,0.25,9.389671361502347e-4,2,0,0.11406187609949543,modspe,Benthic
24,Scissurella_clathrata,Gastropoda,2,1,1,1.1428571428571428,7.451564828614009e-4,2,0,0.01601501325185536,modspe,Benthic
25,Zygochlamys_patagonica,Bivalvia,18,8,10,114.98201065523482,0.001183431952662722,2.286,0.25,0.07348587723731156,modcon,NA
26,Adelomelon_ancilla,Gastropoda,5,3,2,103.55857843137255,8.968609865470852e-4,3.464,0.22,0.014269182541913939,modspe,Benthic
27,Fusitriton_magellanicus,Gastropoda,8,5,3,211.59166666666667,8.503401360544217e-4,3.107,0.017,0.007039737180604053,modspe,Benthic
28,Eurhomalea_sp,Bivalvia,8,4,4,7.479166666666666,8.833922261484099e-4,2,0,0.05859131185052289,modspe,NA
29,Advenogonium_fuegiae,Isopoda,1,1,0,0,9.285051067780873e-4,2,0,0.17957545485989762,modspe,NA
30,Aglaophamus_virginis,Polychaeta,10,5,5,180.71782472008277,0.0010080645161290322,3.607,0.368,0.03296921044133029,modspe,Benthic
31,Lumbrineridae,Polychaeta,5,1,4,9.666666666666666,8.748906386701663e-4,3.5,0,0.018669256886468807,modspe,Benthic
32,Orbiniidae,Polychaeta,12,5,7,14.07496229260935,9.970089730807576e-4,2.2,0.16,0.05629267633521656,modspe,Benthic
33,Eteone_spp,Polychaeta,16,11,5,218.76295271102035,0.001152073732718894,3.166,0.839,0.05962696023124662,modspe,Benthic
34,Syllidae,Polychaeta,8,6,2,8.25,0.0010695187165775401,2.167,0.139,0.1041173836550394,modspe,Benthic
35,Alcyonium_antarcticum,Coral,5,3,2,3,9.302325581395349e-4,2,0,0.060827755736276,modspe,NA
36,Allorostrata_ovalis,Isopoda,1,1,0,0,9.285051067780873e-4,2,0,0.17957545485989762,modspe,NA
37,Allorostrata_scutifrons,Isopoda,1,1,0,0,9.285051067780873e-4,2,0,0.17957545485989762,modspe,NA
38,Tryphosella_sp,Amphipoda,6,3,3,51.076190476190476,9.569377990430622e-4,2.691,1.001,0.029771035992118215,modspe,NA
39,Amblyraja_doellojuradoi,Fish_Chond,26,25,1,17.215629856091095,9.930486593843098e-4,3.413,0.617,0.017371403941481435,modspe,NA
40,Libidoclaea_granaria,Decapoda,7,1,6,1.3336034375506884,0.001059322033898305,2,0,0.07218300200473703,modspe,NA
41,Eurypodius_latreillii,Decapoda,6,2,4,1.1428571428571428,9.80392156862745e-4,3.25,0.063,0.04054476476203297,modspe,NA
42,Grimothea_subrugosa,Decapoda,1,0,1,0,7.220216606498195e-4,1,0,0.01607357855422871,modspe,NA
43,Sympagurus_dimorphus,Decapoda,4,1,3,0.7149246992877212,0.0010626992561105207,2,0,0.0958705976224324,modspe,NA
44,Campylonotus_vagans,Decapoda,5,1,4,1.3318104170438172,0.0010570824524312897,2,0,0.08158460952056344,modspe,NA
45,Patagonotothen_ramsayi,Fish_BenPel,68,49,19,3184.859257780095,0.0011876484560570072,3.508,0.501,0.036245289309928284,modcon,Benthopelagic
46,Natatolana_pastorei,Isopoda,5,1,4,3.458369408369408,9.066183136899365e-4,2,0,0.04503677755586044,modspe,NA
47,Macrochiridothea_stebbingi,Isopoda,1,0,1,0,7.220216606498195e-4,1,0,0.01607357855422871,modspe,NA
48,Onuphis_pseudoiridescens,Polychaeta,2,1,1,0.08815903197925669,9.671179883945841e-4,2,0,0.12028549051161098,modspe,Benthic
49,Pista_spp,Polychaeta,6,1,5,0.5592131936482496,0.001049317943336831,2,0,0.08013016389399727,modcon,Benthic
50,Terebellides_malvinensis,Polychaeta,5,1,4,0.5592131936482496,0.0010416666666666667,2,0,0.08406118489782302,modcon,Benthic
51,Nicolea_chilensis,Polychaeta,5,1,4,0.5592131936482496,0.0010416666666666667,2,0,0.08406118489782302,modcon,Benthic
52,Thelepus_sp,Polychaeta,7,3,4,5.7474587209439045,9.354536950420954e-4,2,0,0.07007255701195828,modcon,Benthic
53,Glycera_spp,Polychaeta,9,4,5,158.88810483143726,0.0010471204188481676,3.32,0.713,0.049090540926554516,modspe,Benthic
54,Eunereis_patagonica,Polychaeta,12,7,5,141.49296390212118,0.0011560693641618498,3.057,0.504,0.07388742169595013,modspe,Benthic
