ID,TrophicSpecies,FunctionalGroup,TotalDegree,NumPrey,NumPred,Between,Close,TL,Omn,meanTrophicSimil,TopRole,Habitat
1,Diatoms_benthic,Diatoms,75,0,75,0,0.0011723329425556857,1,0,0.027763436973902947,hubcon,NA
2,Abyssianira_argentenensis,Isopoda,3,3,0,0,8.368200836820083e-4,2,0,0.07590248256549825,modspe,NA
3,Diatoms_centric,Diatoms,72,0,72,0,0.001160092807424594,1,0,0.026782784748989638,hubcon,NA
4,Diatoms_pennate,Diatoms,72,0,72,0,0.0011494252873563218,1,0,0.027589416270354918,hubcon,NA
5,Abyssianira_dentifrons,Isopoda,3,3,0,0,8.368200836820083e-4,2,0,0.07590248256549825,modspe,NA
6,Abyssianira_spp,Isopoda,3,3,0,0,8.368200836820083e-4,2,0,0.07590248256549825,modspe,NA
7,Detritus,Non-living,155,0,155,0,0.001422475106685633,1,0,0.014538981849700539,hubcon,NA
8,Acanthoserolis_schythei,Isopoda,13,1,12,3.254305092666437,0.0011325028312570782,2,0,0.06421142702629813,modspe,NA
9,Necromass,Non-living,32,0,32,0,9.970089730807576e-4,1,0,0.015892173393646448,modspe,NA
10,Acodontaster_elongatus,Echinodermata,1,1,0,0,7.230657989877079e-4,2,0,0.023971010040843732,modspe,Benthic
11,Acodontaster_sp,Echinodermata,2,1,1,0.5,8.271298593879239e-4,2,0,0.026878204069942933,modspe,Benthic
12,Foraminifera,Foraminifera,42,1,41,25.76471679580923,0.0012165450121654502,2,0,0.03018497465585397,hubcon,NA
13,Actinauge_longicornis,Cnidaria,2,1,1,0.2,8.77963125548727e-4,3,0,0.02780193526091806,modspe,Benthic
14,Eatoniella_spp,Gastropoda,2,1,1,0.25,9.337068160597573e-4,2,0,0.11444314190867884,modspe,Benthic
15,Actinostola_crassicornis,Cnidaria,7,6,1,6,8.503401360544217e-4,2.667,0.222,0.008912019135106704,modspe,Benthic
16,Liotella_crassicostata,Gastropoda,2,1,1,0.25,9.337068160597573e-4,2,0,0.11444314190867884,modspe,Benthic
17,Odostomia_sp,Gastropoda,6,0,6,0,7.639419404125286e-4,1,0,0.020203129560183372,modspe,Benthic
18,Onoba_spp,Gastropoda,2,1,1,0.25,9.337068160597573e-4,2,0,0.11444314190867884,modspe,Benthic
19,Polycheria_spp,Amphipoda,6,4,2,3.908333333333333,0.0010298661174047373,2,0,0.10620112554173379,modspe,NA
20,Scissurella_clathrata,Gastropoda,1,0,1,0,6.426735218508997e-4,1,0,0.00751405856117898,modspe,Benthic
21,Eurhomalea_sp,Bivalvia,9,4,5,8.281944444444445,8.8261253309797e-4,2,0,0.057010772538222725,modspe,NA
22,Adelomelon_ancilla,Gastropoda,5,3,2,101.11502525252527,8.9126559714795e-4,3.464,0.22,0.014252002063073668,modspe,Benthic
23,Fusitriton_magellanicus,Gastropoda,8,5,3,210.57222222222222,8.47457627118644e-4,3.107,0.017,0.007349688930011318,modspe,Benthic
24,Zygochlamys_patagonica,Bivalvia,20,8,12,143.20436040284378,0.001182033096926714,2.286,0.25,0.06954498376138496,modcon,NA
25,Advenogonium_fuegiae,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
26,Aega_semicarinata,Isopoda,3,1,2,0.7647058823529411,0.0010030090270812437,2,0,0.08749292184373786,modspe,NA
27,Eteone_spp,Polychaeta,16,11,5,238.21797904418904,0.001142857142857143,3.166,0.839,0.059939873105736716,modspe,Benthic
28,Aglaophamus_virginis,Polychaeta,10,5,5,206.6375823154286,0.001001001001001001,3.607,0.368,0.032765629342310344,modspe,Benthic
29,Lumbrineriidae,Polychaeta,4,1,3,9.916666666666666,8.673026886383347e-4,3.5,0,0.01706168698991346,modspe,Benthic
30,Orbiniidae,Polychaeta,12,5,7,14.072602089268752,9.900990099009901e-4,2.2,0.16,0.054383332739589126,modspe,Benthic
31,Syllidae,Polychaeta,8,6,2,8.25,0.0010604453870625664,2.167,0.139,0.10099517443743154,modspe,Benthic
32,Alcyonium_antarcticum,Cnidaria,5,3,2,3,9.242144177449168e-4,2,0,0.059228870431147204,modspe,Benthic
33,Allorostrata_ovalis,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
34,Allorostrata_scutifrons,Isopoda,1,1,0,0,9.233610341643582e-4,2,0,0.1793132832820471,modspe,NA
35,Patagonotothen_ramsayi,Fish_BenPel,69,52,17,3195.6885094944405,0.001184834123222749,3.461,0.473,0.03660023799979211,hubcon,Benthopelagic
36,Amblyraja_doellojuradoi,Fish_Chond,26,25,1,16.97647742857827,9.84251968503937e-4,3.352,0.575,0.01597733393429412,modspe,NA
37,Libidoclaea_granaria,Decapoda,5,1,4,0.512611352233201,0.0010449320794148381,2,0,0.08570007550165797,modspe,NA
38,Eurypodius_latreillii,Decapoda,8,4,4,2.452380952380952,9.80392156862745e-4,3.125,0.047,0.04267511920529473,modspe,NA
39,Munida_subrugosa,Decapoda,1,0,1,0,7.163323782234957e-4,1,0,0.01717590589090703,modspe,NA
40,Sympagurus_dimorphus,Decapoda,4,1,3,0.7816220194371456,0.0010615711252653928,2,0,0.09717721716583222,modspe,NA
41,Natatolana_pastorei,Isopoda,5,1,4,3.3266233766233766,9.066183136899365e-4,2,0,0.045588866653031024,modspe,NA
42,Macrochiridothea_stebbingi,Isopoda,1,0,1,0,7.163323782234957e-4,1,0,0.01717590589090703,modspe,NA
43,Campylonotus_vagans,Decapoda,5,1,4,1.2803584510727368,0.0010504201680672268,2,0,0.08220361502225053,modspe,NA
44,Tryphosella_sp,Amphipoda,6,3,3,50.45634920634921,9.514747859181732e-4,2.691,1.001,0.02999419491723939,modspe,NA
45,Onuphis_pseudoiridescens,Polychaeta,2,1,1,0.08712715855572999,9.615384615384616e-4,2,0,0.1213792025031164,modspe,Benthic
46,Pista_spp,Polychaeta,5,1,4,0.34594468556653435,0.0010416666666666667,2,0,0.08870070118806019,modspe,Benthic
47,Terebellides_malvinensis,Polychaeta,4,1,3,0.34594468556653435,0.001034126163391934,2,0,0.09531871288771819,modspe,Benthic
48,Nicolea_chilensis,Polychaeta,4,1,3,0.34594468556653435,0.001034126163391934,2,0,0.09531871288771819,modspe,Benthic
49,Thelepus_sp,Polychaeta,6,3,3,4.063904196454797,9.267840593141798e-4,2,0,0.07345400903146036,modspe,Benthic
50,Glycera_spp,Polychaeta,7,4,3,108.30934938077796,0.0010131712259371835,3.32,0.713,0.055248808916698366,modspe,Benthic
51,Eunereis_patagonica,Polychaeta,12,7,5,123.42885169853588,0.001145475372279496,3.057,0.504,0.0737137956029814,modspe,Benthic
52,Nicon_maculata,Polychaeta,12,7,5,123.42885169853588,0.001145475372279496,3.057,0.504,0.0737137956029814,modspe,Benthic
53,Serpula_spp,Polychaeta,2,1,1,0.5769230769230769,7.710100231303007e-4,2,0,0.021851830005995724,modspe,Benthic
54,Nephtys_sp,Polychaeta,14,7,7,52.482185506608296,0.001148105625717566,2.624,0.63,0.08778222511619674,modspe,Benthic
55,Maldaniidae,Polychaeta,2,0,2,0,7.836990595611285e-4,1,0,0.02026308553565371,modspe,Benthic
56,Amblyraja_georgiana,Fish_Chond,24,24,0,0,0.001040582726326743,3.628,0.502,0.029711316374598108,modcon,NA
57,Austrocidaris_canaliculata,Echinodermata,7,2,5,67.125,9.216589861751152e-4,3.167,0.028,0.023468584618352342,modspe,Benthic
58,Austrocidaris_spinulosida,Echinodermata,5,0,5,0,8.038585209003215e-4,1,0,0.017477751717141953,modspe,Benthic
59,Boccardia_sp,Polychaeta,13,7,6,18.38048977166624,0.0011049723756906078,2.314,0.25,0.07868065993959134,modspe,Benthic
60,Doryteuthis_gahi,Cephalopoda,42,5,37,2266.631785592919,9.68054211035818e-4,3.448,0.886,0.033239225409263724,modhub,Pelagic
61,Eucranta_sp,Polychaeta,4,1,3,0.24096038415366147,0.0010582010582010583,2,0,0.09520638010348187,modspe,Benthic
62,Euphausia_spp,Zooplankton,56,10,46,492.486069850865,0.0012135922330097086,2.48,0.363,0.05119384539387934,modhub,Pelagic
63,Harmothoe_sp,Polychaeta,15,8,7,135.29280233606335,0.001148105625717566,2.723,0.822,0.07653982469461401,modcon,Benthic
64,Hermadion_magalhaensi,Polychaeta,2,0,2,0,8.503401360544217e-4,1,0,0.027569646427014243,modspe,Benthic
65,Lepidonotothen_squamifrons,Fish_BenPel,16,9,7,124.84990522965298,9.940357852882703e-4,3.281,0.618,0.03063154265777446,modspe,Benthopelagic
66,Metepimeria_acanthurus,Amphipoda,2,1,1,1,7.936507936507937e-4,3.25,0,0.008555834800846115,modspe,NA
67,Muraenolepis_spp,Fish_BenPel,10,3,7,67.32234368184284,9.276437847866419e-4,3.857,0.436,0.03154240150828181,modspe,Benthopelagic
68,Neoserolis_exigua,Isopoda,11,1,10,3.0512175499570455,0.0011111111111111111,2,0,0.05754311710631259,modspe,NA
69,Patagonotothen_guntheri,Fish_BenPel,68,55,13,1740.099824474744,0.0011534025374855825,3.382,0.368,0.03578383322474383,modcon,Benthopelagic
70,Polydora_sp,Polychaeta,15,10,5,222.5535056446821,0.001006036217303823,2.726,0.546,0.04864722001807554,modspe,Benthic
71,Polyeunoa_laevis,Polychaeta,6,2,4,50.74096038415366,0.001076426264800861,2.5,0.25,0.07283050062526739,modcon,Benthic
72,Spiophanes_sp,Polychaeta,8,3,5,4.1312834224598936,0.001049317943336831,2.733,0.276,0.05808758490746249,modspe,Benthic
73,Themisto_gaudichaudii,Amphipoda,44,9,35,344.0529206970444,0.0011723329425556857,3.072,0.603,0.052516594276039004,modspe,NA
74,Trophon_geversianus,Gastropoda,17,13,4,156.0752747252747,9.84251968503937e-4,2.637,0.259,0.02689655836739495,modspe,Benthic
75,Trophon_ohlini,Gastropoda,16,13,3,137.3252747252747,9.794319294809011e-4,2.637,0.259,0.027150637176193024,modspe,Benthic
76,Trophon_plicatus,Gastropoda,16,13,3,137.3252747252747,9.794319294809011e-4,2.637,0.259,0.027150637176193024,modspe,Benthic
77,Bacteria,Bacteria,32,0,32,0,9.633911368015414e-4,1,0,0.01803529204471503,modspe,NA
78,Ampharete_kerguelensis,Polychaeta,8,6,2,4.44749146338957,0.001128668171557562,2.167,0.139,0.12360133638542523,modcon,Benthic
79,Anasterias_antarctica,Echinodermata,3,3,0,0,7.183908045977011e-4,3.637,0,0.017106427608523888,modspe,Benthic
80,Halicarcinus_planatus,Decapoda,7,2,5,111.70658808978138,0.0010626992561105207,3.303,1.699,0.055037924815036283,modcon,NA
81,Anasterias_sp,Echinodermata,7,7,0,0,8.880994671403197e-4,3.252,0.685,0.009681182002938622,modspe,Benthic
82,Pagurus_comptus,Decapoda,17,5,12,35.02015206082433,0.0011627906976744186,2.6,0.24,0.05711353446242776,modspe,NA
83,Pareuthria_spp,Gastropoda,2,0,2,0,8.123476848090983e-4,1,0,0.023821473085380247,modspe,Benthic
84,Tonicia_lebruni,Polyplacophora,4,2,2,1.5857142857142856,9.970089730807576e-4,2.5,0.25,0.07759600575858004,modspe,Benthic
85,Turbonilla_strebeli,Gastropoda,2,0,2,0,7.117437722419929e-4,1,0,0.0065632347014177115,modspe,Benthic
86,Andaniotes_linearis,Amphipoda,1,1,0,0,7.230657989877079e-4,2,0,0.023971010040843732,modspe,NA
87,Anobothrus_sp,Polychaeta,3,1,2,0.2356853370718917,0.0010582010582010583,2,0,0.12061854028146923,modcon,Benthic
88,Cyrtostrombidium_sp,Ciliates,12,1,11,6.023376623376623,9.000900090009e-4,2,0,0.03300698522683703,modspe,Pelagic
89,Anthoptilum_grandiflorum,Cnidaria,10,9,1,8.155555555555555,0.0010245901639344263,2.778,0.395,0.0603538097642801,modspe,Benthic
90,Dinoflagellates_heterosol,Dinoflagellates,39,0,39,0,0.001059322033898305,1,0,0.03219968636588433,modspe,NA
91,Laboea_strobila,Ciliates,12,1,11,6.023376623376623,9.000900090009e-4,2,0,0.03300698522683703,modspe,Pelagic
92,Lohmanniella_sp,Ciliates,12,1,11,6.023376623376623,9.000900090009e-4,2,0,0.03300698522683703,modspe,Pelagic
93,Strobilidium_sp,Ciliates,12,1,11,60,8.936550491510277e-4,3,0,0.030483728023106196,modspe,Pelagic
94,Strombidinopsis_sp,Ciliates,12,1,11,6.023376623376623,9.000900090009e-4,2,0,0.03300698522683703,modspe,Pelagic
95,Strombidium_spp,Ciliates,14,1,13,22.929220779220778,9.140767824497258e-4,2,0,0.03371543903074012,modspe,Pelagic
96,Azadinium_sp,Dinoflagellates,21,0,21,0,9.505703422053232e-4,1,0,0.029370002375477516,modspe,NA
97,Aplidium_spp,Ascidiacea,13,10,3,9.017857142857142,0.0010570824524312897,2.1,0.09,0.0864323764321845,modspe,Benthic
98,Emiliania_huxleyi,Coccolithophorids,22,0,22,0,9.505703422053232e-4,1,0,0.022953515444219478,modspe,NA
99,Gymnodinium_sp,Dinoflagellates,27,5,22,183.35835106321846,0.0010214504596527069,2,0,0.04112349263953106,modspe,NA
100,Phaeocystis_antarctica,Coccolithophorids,20,0,20,0,9.416195856873823e-4,1,0,0.023189641292498942,modspe,NA
101,Appendicularia_spp,Zooplankton,11,8,3,125.62118672626728,0.001098901098901099,2.275,0.229,0.0592723465485469,modcon,Pelagic
102,Synechococcus_sp,Phytoplankton_Misc,7,0,7,0,8.532423208191126e-4,1,0,0.011964825075412123,modspe,NA
103,Coelorinchus_fasciatus,Fish_Demersal,16,8,8,161.01692843768475,9.775171065493646e-4,3.553,0.441,0.03704035272557982,modspe,Demersal
104,Arctocephalus_australis,MarineMammals_2,23,23,0,0,9.775171065493646e-4,4.21,0.886,0.04295388829635968,modspe,Land-based
105,Coelorinchus_kayomaru,Fish_Demersal,3,0,3,0,7.686395080707148e-4,1,0,0.013535164636603592,modspe,Demersal
106,Coelorinchus_marinii,Fish_Demersal,8,5,3,4.935770433529537,9.70873786407767e-4,3.334,0.662,0.029787668226246428,modspe,Demersal
107,Dissostichus_eleginoides,Fish_BenPel,54,30,24,2999.018584250563,0.0011025358324145535,3.929,0.917,0.04065322228856928,modhub,Benthopelagic
108,Enteroctopus_megalocyathus,Cephalopoda,30,16,14,499.7335246690665,0.0010070493454179255,3.524,0.306,0.030658636023215845,modspe,Pelagic
109,Genypterus_blacodes,Fish_Demersal,13,8,5,50.012319728104046,9.090909090909091e-4,3.884,0.701,0.04370028107453054,modspe,Demersal
110,Guttigadus_kongi,Fish_Demersal,3,0,3,0,7.727975270479134e-4,1,0,0.015374081767900347,modspe,Demersal
111,Macrourus_carinatus,Fish_BenPel,17,13,4,51.4601066390386,0.0010030090270812437,4.178,0.402,0.03395777070609964,modspe,Benthopelagic
112,Macrourus_holotrachys,Fish_BenPel,16,10,6,68.53570586111204,9.910802775024777e-4,3.792,0.524,0.03645531479589835,modspe,Benthopelagic
113,Macrourus_whitsoni,Fish_BenPel,6,2,4,0.411417852202166,8.695652173913044e-4,3.964,0.235,0.030470763259599798,modspe,Benthopelagic
114,Macruronus_novaezelandiae,Fish_BenPel,21,10,11,130.1533115242031,0.0010224948875255625,3.736,0.341,0.04622308478358605,modspe,Benthopelagic
115,Micromesistius_australis,Fish_Pel,39,15,24,1057.484028900959,0.001040582726326743,3.639,1.211,0.03662486707005641,modhub,Pelagic
116,Munida_gregaria,Decapoda,32,2,30,32.794540417450804,0.001141552511415525,2.5,0.25,0.047841807527992275,modspe,NA
117,Notophycis_marginata,Fish_BenPel,6,0,6,0,8e-4,1,0,0.027100334815446783,modspe,Benthopelagic
118,Patagonotothen_cornucola,Fish_BenPel,10,3,7,3.8577192056861342,9.000900090009e-4,3,0,0.02817371835638195,modspe,Benthopelagic
119,Patagonotothen_elegans,Fish_BenPel,9,3,6,3.1600301300558824,8.976660682226212e-4,3,0,0.028636106231032285,modspe,Benthopelagic
120,Patagonotothen_kreffti,Fish_BenPel,9,3,6,3.4053382533051826,8.968609865470852e-4,3,0,0.026034886008015384,modspe,Benthopelagic
121,Salilota_australis,Fish_Demersal,18,13,5,2505.329901405945,0.0010050251256281408,4.191,0.504,0.05200868189736554,modspe,Demersal
122,Sprattus_fuegensis,Fish_Pel,42,17,25,411.94473709145814,0.001128668171557562,3.454,0.688,0.047016417279384444,modspe,Pelagic
123,Ardenna_gravis,SeaBirds,6,6,0,0,9.000900090009e-4,3.897,0.914,0.05122387595654267,modspe,Land-based
124,Ardenna_grisea,SeaBirds,6,6,0,0,9.000900090009e-4,3.897,0.914,0.05122387595654267,modspe,Land-based
125,Poecilosclerida,Porifera,17,12,5,37.61048557774364,0.001088139281828074,2.083,0.076,0.07599919852556374,modspe,Benthic
